iso3c,year,ChildMortality,GDPpc
ARG,2005,16.6,13513.6702919661
ARG,2006,16.1,14896.7335378162
ARG,2015,11.6,20105.1989918165
ARG,2017,10.3,23597.117752839
ARG,2013,12.7,20131.6804246983
ARG,2014,12.2,19683.7715056442
ARM,2015,14.4,10132.318975243
ARM,2000,30.7,2572.4208203298
ARM,2016,13.7,10966.8533270074
ARM,2017,13,12509.6396064818
ARM,2013,15.9,9822.94744066856
ARM,2010,18.5,7331.38650353822
ARM,2007,21.6,7380.23153964858
ARM,2008,20.5,8097.3050071749
ARM,2018,12.4,13549.5224245895
ARM,2021,10.7,15676.3282908496
ARM,2014,15.1,10114.93983675
ARM,2012,16.8,9267.39700562965
ARM,2001,29.2,2915.45578555773
ARM,2009,19.5,7045.33072468128
ARM,2006,22.7,6274.02820664947
ARM,2002,27.8,3382.06032385789
ARM,2011,17.6,7881.77173468477
ARM,2019,11.8,14924.776928318
ARM,2020,11.3,14105.9112525331
ARM,2005,23.9,5339.90170201023
ARM,2003,26.4,3958.32998572176
ARM,2004,25.1,4518.26274645491
ABW,2009,,35167.5313180673
ABW,2003,,32654.4258915852
ABW,2004,,35653.9744751721
ABW,2008,,40054.6394741559
ABW,2006,,37361.9370413717
ABW,2017,,38868.3339230867
ABW,2001,,32179.9407289433
ABW,2002,,31988.1893647276
ABW,2020,,30873.6667783799
ABW,2000,,30746.6847192965
ABW,2019,,40144.6474358026
ABW,2007,,39074.4838418559
ABW,2005,,36265.5303845399
ABW,2016,,37581.7785245367
ABW,2013,,36931.0572138997
ABW,2010,,34227.828725148
ABW,2015,,37341.1248431157
ABW,2011,,35778.4917971718
ABW,2012,,34788.2512054388
ABW,2014,,36844.0530580265
ABW,2018,,40549.6108207788
ABW,2021,,41195.9745199989
AUS,2014,4,46914.3867078836
AUS,2008,5.2,37532.9990434133
AUS,2007,5.4,36653.8417179443
AUS,2005,5.7,33036.5834770249
AUS,2006,5.6,34846.7156302418
AUS,2015,3.9,46292.0954391179
AUS,2013,4.1,45936.049310436
AUS,2012,4.3,42866.6043295085
AUS,2011,4.5,42025.4645815618
AUS,2019,3.8,52746.7182896307
AUS,2020,3.7,54064.0794661947
AUS,2021,3.7,57406.1787604549
AUS,2009,5,40312.3951186945
AUS,2010,4.8,39374.6321044163
AUS,2017,3.8,48418.558421681
AUS,2018,3.8,50251.3353381469
AUS,2000,6.2,26541.6653208437
AUS,2016,3.8,47289.2859136343
AUS,2001,6.1,27645.8140289701
AUS,2002,6,29032.4909555888
AUS,2004,5.8,31763.7960926854
AUS,2003,5.9,30121.8184177337
AUT,2002,5.3,31178.6933297272
AUT,2003,5.2,32146.0152926271
AUT,2017,3.6,54172.9867888254
AUT,2000,5.5,29379.7422969788
AUT,2006,4.7,37661.922416092
AUT,2020,3.6,58610.8343636691
AUT,2001,5.4,29711.5838626165
AUT,2004,5.1,33774.7873879307
AUT,2013,3.9,47922.0491207455
AUT,2016,3.6,52684.0171130768
AUT,2014,3.8,48799.7154676985
AUT,2007,4.6,39439.6039049819
AUT,2005,4.9,35013.7140443423
AUT,2019,3.6,60574.6271030491
AUT,2009,4.5,40916.9197419528
AUT,2011,4.2,44452.7327457999
AUT,2012,4,46457.3457770311
AUT,2008,4.5,41316.225176699
AUT,2010,4.3,42002.1571364403
AUT,2018,3.6,56937.944282984
AUT,2015,3.7,49865.9039424185
AUT,2021,3.7,63421.2035870778
AZE,2014,28.3,17443.8782563094
AZE,2006,48.7,9243.49764554313
AZE,2008,42.7,12969.2003782405
AZE,2012,32.5,15957.7188502849
AZE,2011,34.8,14804.5744507911
AZE,2013,30.3,17188.9455056612
AZE,2018,21.5,14551.2001141105
AZE,2021,18.6,15927.2101484962
AZE,2020,19.4,14495.6569721312
AZE,2010,37.3,14678.7737395302
AZE,2007,45.6,11732.8414907335
AZE,2019,20.4,15054.544606509
AZE,2009,39.9,13972.5947839401
AZE,2015,26.3,14938.4011276715
AZE,2016,24.5,14371.0227410092
AZE,2017,22.9,14121.4069355591
AZE,2000,74.6,3381.66620983258
AZE,2005,52,6740.4240629969
AZE,2001,69.4,3770.85228711686
AZE,2002,64.5,4159.94056320335
AZE,2004,55.7,5159.85941090733
AZE,2003,59.8,4639.79442615882
BHS,2000,16.3,25732.9965006504
BHS,2002,16.6,27408.4499964747
BHS,2013,14.4,29911.9168395845
BHS,2011,15.1,30053.6711228981
BHS,2008,16.2,30761.9272227029
BHS,2001,16.4,26625.89831464
BHS,2009,15.8,29242.2905183157
BHS,2006,16.8,30511.0520850914
BHS,2012,14.7,30723.1730198362
BHS,2019,23.4,35780.7596716952
BHS,2020,13.3,27595.9694509426
BHS,2021,13.2,33614.7395177735
BHS,2007,16.5,31344.1962349777
BHS,2003,16.8,27229.956414693
BHS,2004,16.9,27829.5248446479
